model,y_bin,rmse,mae,n
MPHNN,12-14,1.4753813213871365,1.360386838277181,150
MPHNN,<12,1.4789767222920238,1.1124542138515374,234
MPHNN,>14,3.749862847512535,3.672370009952122,36
PLS,12-14,1.1329413288116974,0.8475761662685413,150
PLS,<12,1.3305185188415278,1.0431158359671915,234
PLS,>14,2.1819246906882914,1.9952270300938197,36
SVR,12-14,1.2363220290531598,0.9758656163570493,150
SVR,<12,1.5842837109187748,1.2378860471686703,234
SVR,>14,2.703128409255568,2.483981486019482,36
XGB,12-14,1.3781600325028964,1.127686280568441,150
XGB,<12,1.594415419733271,1.2082653257581921,234
XGB,>14,2.7787365216335087,2.4766841464572487,36
